subset,dataset,datatype,num_samples,resolution,method,psnr,ssim,mse,hf_ratio
StdMetal-Resist,StdMetal,Resist,100,128,Fourier,28.380519,0.905057,0.001683,696.714942
StdMetal-Resist,StdMetal,Resist,100,256,PointWise,34.928829,0.992626,0.000381,410.891261
StdMetal-Resist,StdMetal,Resist,100,256,Average,40.077479,0.997742,0.000116,398.725117
StdMetal-Resist,StdMetal,Resist,100,256,Fourier,34.922398,0.991665,0.000381,408.968382
StdMetal-Resist,StdMetal,Resist,100,512,PointWise,41.842361,0.998499,7.8e-05,232.06684
StdMetal-Resist,StdMetal,Resist,100,512,Average,46.253236,0.999456,2.8e-05,230.093156
StdMetal-Resist,StdMetal,Resist,100,512,Fourier,41.823505,0.998137,7.8e-05,231.271397
StdMetal-Resist,StdMetal,Resist,100,1024,PointWise,50.220749,0.999782,1.1e-05,81.300183
StdMetal-Resist,StdMetal,Resist,100,1024,Average,53.190186,0.99989,6e-06,80.826371
StdMetal-Resist,StdMetal,Resist,100,1024,Fourier,50.027611,0.999388,1.2e-05,80.763128
StdMetal-Target,StdMetal,Target,100,128,PointWise,21.993453,0.884801,0.007673,1.005137
StdMetal-Target,StdMetal,Target,100,128,Average,26.795661,0.960965,0.002579,0.651312
StdMetal-Target,StdMetal,Target,100,128,Fourier,18.497892,0.415219,0.015474,0.439874
StdMetal-Target,StdMetal,Target,100,256,PointWise,25.226508,0.945105,0.003672,1.005067
StdMetal-Target,StdMetal,Target,100,256,Average,29.735419,0.980251,0.001313,0.656634
StdMetal-Target,StdMetal,Target,100,256,Fourier,18.942204,0.423448,0.014336,0.453885
StdMetal-Target,StdMetal,Target,100,512,PointWise,29.041139,0.976966,0.001482,1.005378
StdMetal-Target,StdMetal,Target,100,512,Average,32.676569,0.990066,0.000646,0.668547
StdMetal-Target,StdMetal,Target,100,512,Fourier,20.162475,0.468055,0.010685,0.485349
StdMetal-Target,StdMetal,Target,100,1024,PointWise,34.459371,0.993232,0.000466,1.005583
StdMetal-Target,StdMetal,Target,100,1024,Average,37.468533,0.996607,0.000233,0.730263
StdMetal-Target,StdMetal,Target,100,1024,Fourier,20.285107,0.463142,0.010413,0.492421
ViaSet-LevelILT,ViaSet,LevelILT,100,128,PointWise,26.115662,0.894805,0.002647,1.105927
ViaSet-LevelILT,ViaSet,LevelILT,100,128,Average,30.858888,0.963506,0.000877,0.694262
ViaSet-LevelILT,ViaSet,LevelILT,100,128,Fourier,21.077547,0.249885,0.00791,0.500663
ViaSet-LevelILT,ViaSet,LevelILT,100,256,PointWise,29.473364,0.951664,0.001219,1.095571
